Plant_Code,Plant_Name,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
1855,SturgisCityDieselPlant,41.7992,-85.4256,Municipality,22,ElectricUtility,4.16
1856,HydroPlant,41.9711,-85.5381,StJosephRiver,22,ElectricUtility,24.9
59382,PaisleyGeothermalGeneratingPlant,42.695833,-120.557778,Wells,22,ElectricUtility,69
969,Sullivan(IL),39.596667,-88.611944,NA,22,ElectricUtility,69
1191,Sumner,42.8464,-92.0978,NA,22,ElectricUtility,69
1235,GreatBend-Sunflower,38.41,-98.8689,Wells,22,ElectricUtility,115
1336,GardenCity,37.9703,-100.8956,Wells,22,ElectricUtility,115
108,Holcomb,37.9308,-100.9725,Wells,22,ElectricUtility,115
1233,FortDodge,37.7328,-99.9497,Wells,22,ElectricUtility,115
58255,Rubart,37.558611,-101.099444,Wells,22,ElectricUtility,115
1230,CimarronRiver,37.1611,-100.7619,Wells,22,ElectricUtility,13.8
8037,Clifton,39.6125,-97.2778,Wells,22,ElectricUtility,115
55182,SunrisePowerLLC,35.2097,-119.585,Municipality,22,IPPNon-CHP,232
50965,ToledoRefPowerRecoveryTrain,41.6325,-83.5042,Municipality,32411,IndustrialCHP,69
52106,PhiladelphiaRefinery,39.9058,-75.2122,SchuylkillRiver,32411,IndustrialCHP,230
6618,HighgateFalls,44.933611,-73.051111,MissisquoiRiver,22,ElectricUtility,12
50134,SycamoreCogeneration,35.452577,-118.985313,NA,22,IPPCHP,230
50835,TESFilerCityStation,44.217299,-86.28905,ManisteeLake,22,IPPCHP,138
50436,CascadeDam,42.909408,-85.49888,ThornappleRiver,22,IPPNon-CHP,8.3
50437,FrenchLandingDam,42.214264,-83.440692,HuronRiver,22,IPPNon-CHP,40
7127,Wynoochee,47.385072,-123.605225,WynoocheeRiver,22,ElectricUtility,34.5
3917,Mayfield,46.5035,-122.5885,CowlitzRiver,22,ElectricUtility,240
3918,Mossyrock,46.5347,-122.4247,CowlitzRiver,22,ElectricUtility,240
3914,Cushman1,47.4181,-123.2252,NorthForkSkokomishRiver,22,ElectricUtility,110
3915,Cushman2,47.3698,-123.1603,NorthForkSkokomishRiver,22,ElectricUtility,110
3913,Alder,46.8016,-122.3102,NisquallyRiver,22,ElectricUtility,110
3916,LaGrande,46.8328,-122.3196,NisquallyRiver,22,ElectricUtility,110
3920,Steamplant,47.277778,-122.4,Municipality,22,ElectricUtility,0
50416,TanneryIslandPower,43.98,-75.6131,BlackRiver,22,IPPNon-CHP,23
688,ArvahBHopkins,30.4522,-84.4,Wells,22,ElectricUtility,230
61080,Sub12,30.459813,-84.260028,NA,22,ElectricUtility,115
956,CHCornHydroelectricFacility,30.388517,-84.646624,LakeTalquin,22,ElectricUtility,69
689,SOPurdom,30.162304,-84.200673,St.MarksRiver,22,ElectricUtility,115
54323,CNNCenter,33.759167,-84.395,NA,515,CommercialNon-CHP,19.8
747,DinnerLake,27.4925,-81.435833,Municipality,22,ElectricUtility,0
748,Phillips,27.4439,-81.3633,Wells,22,ElectricUtility,69
645,BigBend,27.7944,-82.4036,TampaBay,22,ElectricUtility,230
56353,TampaElectricCoNA3,27.796255,-82.399486,TampaBay,22,ElectricUtility,0
61663,LithiaSolar,27.753272,-82.164656,NA,22,ElectricUtility,230
55893,PartnershipStation,27.9253,-82.4414,NA,22,ElectricUtility,69
646,FJGannon,27.907222,-82.423055,HillsboroughBay,22,ElectricUtility,0
7873,HLCulbreathBaysidePowerStation,27.9072,-82.4231,HillsboroughBay,22,ElectricUtility,230
59769,TIASolar,27.965797,-82.532816,NA,22,ElectricUtility,13.2
56352,TampaElectricCoNA2,27.9072,-82.4231,HillsboroughBay,22,ElectricUtility,230
647,HookersPoint,27.9375,-82.444444,HillsboroughBay,22,ElectricUtility,0
61654,BalmSolar,27.769667,-82.233972,NA,22,ElectricUtility,230
61656,GrangeHallSolar,27.681278,-82.164656,NA,22,ElectricUtility,69
61667,WimaumaSolar,27.736389,-82.271722,NA,22,ElectricUtility,230
61664,MountainViewSolar(FL),28.387144,-82.224408,NA,22,ElectricUtility,69
61657,LakeHancockSolar,27.719139,-82.033889,NA,22,ElectricUtility,230
61666,PeaceCreekSolar,27.913306,-81.810111,NA,22,ElectricUtility,69
61665,PayneCreekSolar,27.664583,-81.964222,NA,22,ElectricUtility,69
7242,Polk,27.7286,-81.9897,Lake,22,ElectricUtility,230
61653,AlafiaSolar,27.719139,-82.033889,NA,22,ElectricUtility,230
61655,BonnieMineSolar,27.89008,-81.98717,NA,22,ElectricUtility,69
60371,LegolandSolar,27.986163,-81.690172,NA,22,ElectricUtility,13.8
50099,TamarackEnergyPartnership,44.954853,-116.387134,Wells,22,IPPCHP,69
54347,HowardFCurrenAdvncdWastewaterPlant,27.9389,-82.4389,WastewaterEffluentReuse,22132,CommercialNon-CHP,13.2
1682,ClearyFlood,41.8653,-71.1061,TauntonRiver,22,ElectricUtility,115
55132,TenaskaGatewayGeneratingStation,32.017826,-94.619743,SabineRiver,22,IPPNon-CHP,345
2308,Tecumseh,40.3664,-96.19,Wells,22,ElectricUtility,69
55061,TenaskaGeorgiaGenerationFacility,33.3516,-84.9996,HeardCountyWaterAuthority,22,IPPNon-CHP,500
55439,TenaskaVirginiaGeneratingStation,37.8667,-78.3813,JamesRiver,22,IPPNon-CHP,525
3834,PhilpottLake,36.7803,-80.0281,Reservoir,22,ElectricUtility,138
3833,JohnHKerr,36.59943,-78.3005,Reservoir,22,ElectricUtility,115
55062,TenaskaFrontierGenerationStation,30.5924,-95.9178,Municipallity,22,IPPNon-CHP,356
52184,TesoroKenaiCogenerationPlant,60.677,-151.3815,NA,32411,IndustrialCHP,25
3396,BullRun,36.0211,-84.1567,ClinchRiver,22,ElectricUtility,161
3411,NorrisDam,36.2242,-84.0914,TennesseeRiver,22,ElectricUtility,161
7927,BuffaloMountain,36.120994,-84.338733,NA,22,ElectricUtility,69
55451,MagnoliaPowerPlant,34.835,-89.2026,Wells,22,ElectricUtility,350
3421,Wilbur,36.341667,-82.126389,WataugaRiver,22,ElectricUtility,69
3418,Watauga,36.3413,-82.1264,WataugaRiver,22,ElectricUtility,69
2780,HiwasseeDam,35.150864,-84.177533,HiwasseeRiver,22,ElectricUtility,161
55694,QuantumChoctawPowerLLC,33.3792,-89.2089,DeepWells,22,ElectricUtility,500
2778,Chatuge,35.019131,-83.791438,HiwasseeRiver,22,ElectricUtility,69
47,Colbert,34.7439,-87.8486,TennesseeRiver,22,ElectricUtility,161
55269,TVASouthavenCombinedCycle,34.9939,-90.0378,Wells,22,ElectricUtility,500
757,BlueRidge,34.883889,-84.282222,Toccoa(Ocoee)River,22,ElectricUtility,69
